iter	RMSE
0	3567925.236
1	3482650.596
2	3402271.47
3	3327030.252
4	3254435.118
5	3185847.42
6	3124027.432
7	3065174.63
8	3012918.108
9	2962312.818
10	2918340.249
11	2876340.248
12	2834855.3
13	2798600.638
14	2765843.541
15	2732427.893
16	2703988.245
17	2674489.902
18	2649628.087
19	2624658.707
20	2602900.757
21	2582311.014
22	2562808.546
23	2544554.684
24	2528591.535
25	2512993.072
26	2495731.807
27	2480472.932
28	2466547.523
29	2453241.794
30	2440245.062
31	2429601.156
32	2418488.851
33	2408616.6
34	2399695.566
35	2391010.465
36	2382836.629
37	2376249.04
38	2369318.868
39	2360887.596
40	2353576.896
41	2347589.954
42	2341478.776
43	2336470.791
44	2330615.336
45	2324685.091
46	2320473.664
47	2316297.975
48	2311896.757
49	2307821.707
50	2303747.096
51	2299784.496
52	2295378.421
53	2292187.81
54	2288158.76
55	2284985.522
56	2281092.784
57	2277666.472
58	2275291.882
59	2272452.97
60	2270301.355
61	2267086.099
62	2263769.497
63	2261578.363
64	2257564.385
65	2254742.774
66	2252589.752
67	2250895.291
68	2248848.455
69	2246467.815
70	2242256.658
71	2239558.497
72	2238062.736
73	2236704.471
74	2234430.998
75	2231419.364
76	2228312.264
77	2227175.34
78	2225855.933
79	2224058.071
80	2222186.214
81	2220411.972
82	2218046.044
83	2216473.344
84	2214551.473
85	2212667.178
86	2211791.962
87	2210825.316
88	2209021.675
89	2207849.622
90	2205232.132
91	2203735.206
92	2202647.09
93	2201648.756
94	2200824.551
95	2199839.393
96	2198938.78
97	2198363.127
98	2197455.917
99	2196643.527
100	2194592.595
101	2193885.994
102	2191819.44
103	2190623.727
104	2189097.087
105	2188351.266
106	2187018.324
107	2185981.717
108	2184869.338
109	2184275.93
110	2183388.846
111	2182939.034
112	2182098.009
113	2181067.669
114	2179558.708
115	2179024.405
116	2178105.076
117	2177441.655
118	2176471.421
119	2175406.091
120	2174061.881
121	2173479.669
122	2172924.619
123	2171740.482
124	2171220.619
125	2170627.06
126	2169655.82
127	2169114.762
128	2168232.61
129	2167206.954
130	2166266.639
131	2165690.642
132	2165201.545
133	2164514.899
134	2163743.684
135	2163360.79
136	2162559.132
137	2161742.466
138	2161397.77
139	2160842.82
140	2160408.411
141	2159552.866
142	2159109.001
143	2158862.072
144	2158041.482
145	2157335.095
146	2156886.403
147	2155617.879
148	2155340.376
149	2154482.539
150	2153533.105
151	2152717.934
152	2152128.415
153	2151689.099
154	2151099.327
155	2149928.35
156	2149527.815
157	2149070.719
158	2148580.89
159	2148190.908
160	2147357.724
161	2146233.367
162	2145735.733
163	2145112.443
164	2144743.845
165	2143860.63
166	2142811.373
167	2142275.906
168	2141883.097
169	2141328.359
170	2141061.452
171	2140561.782
172	2140039.778
173	2139746.611
174	2139209.524
175	2138525.945
176	2137800.586
177	2137388.82
178	2136930.861
179	2136670.231
180	2136339.392
181	2136031.961
182	2135586.976
183	2135210.377
184	2134525.777
185	2134078.27
186	2133609.641
187	2133129.174
188	2132527.212
189	2131893.087
190	2131638.809
191	2131059.958
192	2130681.023
193	2130060.713
194	2129222.984
195	2128933.396
196	2128288.857
197	2128017.005
198	2127574.793
199	2127188.203
200	2126493.55
201	2125832.097
202	2125311.805
203	2124697.84
204	2124295.141
205	2124052.509
206	2123495.518
207	2123093.079
208	2122600.271
209	2122324.832
210	2121524.161
211	2121196.641
212	2120850.431
213	2120422.326
214	2119837.271
215	2119387.975
216	2119076.144
217	2118774.971
218	2118390.234
219	2118022.725
220	2117519.359
221	2117319.319
222	2117008.664
223	2116523.337
224	2116309.919
225	2116015.184
226	2115741.192
227	2115227.59
228	2115007.976
229	2114688.681
230	2114427.997
231	2114135.203
232	2113523.548
233	2112886.564
234	2112563.374
235	2111799.293
236	2111538.969
237	2111158.334
238	2110810.611
239	2110534.462
240	2110187.008
241	2109787.241
242	2109502.437
243	2109068.784
244	2108565.509
245	2108095.768
246	2107838.398
247	2107360.931
248	2107099.416
249	2106815.175
250	2106446.424
251	2106055.929
252	2105774.043
253	2105174.72
254	2104882.118
255	2104591.873
256	2104145.098
257	2103819.995
258	2103336.924
259	2103092.505
260	2102564.173
261	2102277.371
262	2101899.616
263	2101722.325
264	2101339.584
265	2100782.338
266	2100576.06
267	2099945.414
268	2099633.299
269	2099273.243
270	2098966.949
271	2098345.229
272	2097783.694
273	2097483.587
274	2097269.013
275	2096997.79
276	2096576.325
277	2096300.249
278	2096108.265
279	2095899.234
280	2095455.632
281	2095180.659
282	2095002.743
283	2094683.171
284	2094469.556
285	2093833.328
286	2093436.594
287	2093200.358
288	2092867.873
289	2092454.057
290	2092045.272
291	2091794.91
292	2091605.481
293	2091393.264
294	2090993.033
295	2090810.089
296	2090503.166
297	2090174.04
298	2089768.556
299	2089459.098
300	2089297.354
301	2088792.055
302	2088279.552
303	2088041.237
304	2087687.321
305	2087224.941
306	2086948.195
307	2086516.342
308	2086112.564
309	2085901.447
310	2085494.457
311	2085176.755
312	2084748.573
313	2084491.192
314	2084133.041
315	2083929.321
316	2083665.648
317	2083404.719
318	2083149.313
319	2082813.096
320	2082667.374
321	2082210.957
322	2081878.137
323	2081570.671
324	2081446.354
325	2081216.76
326	2080623.215
327	2080242.346
328	2079890.138
329	2079724.21
330	2079387.406
331	2079058.254
332	2078759.211
333	2078401.62
334	2078070.575
335	2077874.185
336	2077740.833
337	2077395.515
338	2077133.977
339	2076683.758
340	2076428.755
341	2075838.74
342	2075476.908
343	2075102.256
344	2074729.418
345	2074488.682
346	2074133.275
347	2073904.698
348	2073644.274
349	2073443.085
350	2073021.861
351	2072843.374
352	2072472.502
353	2072131.716
354	2071691.753
355	2071352.555
356	2071130.041
357	2070941.541
358	2070714.487
359	2070337.163
360	2070155.096
361	2069758.964
