iter	Passed	Remaining
0	13	13377
1	27	13490
2	39	13193
3	52	13063
4	65	12955
5	78	12951
6	90	12905
7	104	12897
8	117	12895
9	130	12894
10	144	12975
11	157	12949
12	170	12936
13	182	12885
14	194	12789
15	207	12767
16	220	12738
17	232	12688
18	251	12959
19	275	13514
20	288	13468
21	301	13404
22	314	13360
23	327	13303
24	339	13236
25	352	13194
26	365	13156
27	382	13265
28	394	13219
29	408	13219
30	421	13182
31	434	13139
32	446	13097
33	459	13049
34	471	13001
35	484	12963
36	496	12917
37	508	12869
38	520	12831
39	533	12808
40	546	12790
41	559	12751
42	572	12736
43	584	12702
44	597	12683
45	609	12643
46	621	12604
47	633	12573
48	646	12543
49	659	12539
50	672	12514
51	685	12493
52	697	12466
53	709	12434
54	722	12418
55	735	12392
56	747	12372
57	760	12347
58	772	12317
59	784	12289
60	796	12258
61	809	12245
62	821	12221
63	833	12190
64	846	12181
65	859	12160
66	871	12141
67	884	12122
68	896	12090
69	908	12068
70	921	12062
71	934	12046
72	946	12019
73	958	11998
74	972	11988
75	984	11973
76	998	11963
77	1010	11942
78	1021	11913
79	1033	11890
80	1046	11873
81	1062	11893
82	1075	11884
83	1088	11874
84	1101	11857
85	1115	11850
86	1127	11832
87	1139	11805
88	1152	11792
89	1164	11772
90	1178	11768
91	1190	11745
92	1201	11719
93	1213	11694
94	1224	11662
95	1236	11642
96	1248	11622
97	1260	11598
98	1272	11583
99	1285	11571
100	1298	11560
101	1313	11568
102	1327	11562
103	1340	11548
104	1353	11534
105	1365	11516
106	1377	11500
107	1390	11481
108	1402	11464
109	1414	11445
110	1427	11430
111	1438	11404
112	1450	11386
113	1462	11367
114	1476	11361
115	1487	11338
116	1501	11329
117	1513	11315
118	1526	11303
119	1539	11289
120	1552	11279
121	1564	11260
122	1576	11240
123	1589	11230
124	1601	11209
125	1613	11191
126	1625	11174
127	1637	11154
128	1650	11142
129	1663	11135
130	1676	11121
131	1688	11103
132	1700	11087
133	1713	11074
134	1726	11059
135	1738	11042
136	1750	11029
137	1763	11016
138	1775	10999
139	1788	10984
140	1799	10962
141	1811	10946
142	1822	10924
143	1833	10899
144	1846	10886
145	1858	10871
146	1870	10856
147	1883	10844
148	1896	10830
149	1908	10815
150	1920	10799
151	1933	10789
152	1946	10775
153	1958	10761
154	1971	10749
155	1984	10736
156	1996	10722
157	2007	10700
158	2020	10686
159	2035	10685
160	2048	10677
161	2062	10666
162	2073	10648
163	2086	10634
164	2098	10619
165	2111	10610
166	2124	10598
167	2136	10582
168	2148	10565
