iter	RMSE
0	3628367.463
1	3537668.201
2	3451719.559
3	3371375.995
4	3295155.056
5	3226517.239
6	3161875.983
7	3103756.085
8	3047464.907
9	2996421.106
10	2947441.645
11	2904723.894
12	2862532.755
13	2822327.908
14	2785263.004
15	2752922.487
16	2721696.888
17	2693303.047
18	2665767.528
19	2640787.776
20	2616588.951
21	2594526.306
22	2574476.909
23	2555270.364
24	2538492.545
25	2522476.309
26	2507597.289
27	2493582.236
28	2481535.089
29	2468841.249
30	2457614.884
31	2445424.375
32	2434116.958
33	2425090.274
34	2416065.385
35	2405354.868
36	2396747.915
37	2388711.943
38	2381029.997
39	2373954.188
40	2366172.127
41	2359073.798
42	2353284.792
43	2346733.221
44	2340253.171
45	2335101.617
46	2329724.675
47	2323981.608
48	2319631.081
49	2315436.736
50	2311844.525
51	2306156.52
52	2302690.387
53	2299017.025
54	2295745.795
55	2292859.492
56	2289659.244
57	2285596.878
58	2282561.671
59	2279373.196
60	2275726.116
61	2273221.878
62	2270914.869
63	2267416.44
64	2265436.471
65	2262638.798
66	2260143.588
67	2257645.649
68	2256082.773
69	2253547.16
70	2251195.729
71	2249439.876
72	2247802.694
73	2244769.751
74	2243055.918
75	2240005.012
76	2236981.853
77	2235762.787
78	2232771.69
79	2231478.427
80	2230018
81	2228611.215
82	2227302.394
83	2226220.642
84	2223736.418
85	2222802.197
86	2220866.452
87	2219476.009
88	2218504.779
89	2215268.577
90	2214159.277
91	2213102.275
92	2212182.116
93	2211026.814
94	2210214.291
95	2209424.273
96	2208452.717
97	2207443.17
98	2205225.47
99	2204300.837
100	2203046.874
101	2202356.305
102	2201626.114
103	2200795.224
104	2199241.602
105	2198602.461
106	2197390.976
107	2196390.615
108	2195766.637
109	2194402.59
110	2193515.572
111	2192345.352
112	2191732.193
113	2191123.495
114	2190471.292
115	2188688.318
116	2188047.099
117	2186256.179
118	2185670.798
119	2185048.079
120	2184512.416
121	2183382.32
122	2182364.599
123	2181637.135
124	2180684.846
125	2180232.808
126	2179614.838
127	2178556.545
128	2178033.319
129	2177402.232
130	2176557.714
131	2175646.433
132	2175148.709
133	2174794.685
134	2174285.067
135	2173812.853
136	2173294.56
137	2172712.74
138	2172243.546
139	2171388.461
140	2170514.592
141	2170122.656
142	2169509.306
143	2169091.374
144	2168742.415
145	2168009.742
146	2166520.477
147	2165240.407
148	2164572.224
149	2164077.494
150	2163678.841
151	2163263.161
152	2162482.622
153	2162084.772
154	2161382.643
155	2160839.587
156	2160234.199
157	2159266.726
158	2158892.165
159	2158179.931
160	2157747.383
161	2157038.402
162	2156601.976
163	2156080.875
164	2155661.436
165	2155058.51
166	2154764.845
167	2154305.515
168	2153622.31
169	2153203.546
170	2151930.745
171	2151199.599
172	2150937.425
173	2150573.941
174	2150216.901
175	2149569.768
176	2149182.116
177	2148817.607
178	2148377.326
179	2148050.517
180	2147775.958
181	2147463.425
182	2147229.988
183	2146775.11
184	2146348.893
185	2146086.845
186	2145324.075
187	2144714.595
188	2144298.431
189	2143254.552
190	2142937.317
191	2142039.253
192	2141705.722
193	2141008.714
194	2140553.04
195	2139618.149
196	2139154.861
197	2138885.282
198	2138468.283
199	2137583.925
200	2137432.454
201	2137055.432
202	2136742.876
203	2136375.983
204	2135997.067
205	2135424.97
206	2135033.335
207	2134681.26
208	2134466.353
209	2133861.341
210	2133041.49
211	2132593.574
212	2132222.952
213	2131817.979
214	2131270.973
215	2131104.551
216	2130822.017
217	2130400.536
218	2130135.792
219	2129710.167
220	2129272.031
221	2128997.751
222	2128734.275
223	2128167.925
224	2127917.12
225	2127488.039
226	2127214.547
227	2126730.129
228	2126315.986
229	2126076.963
230	2125738.904
231	2125610.511
232	2124944.397
233	2124574.429
234	2124157.279
235	2123956.906
236	2123685.735
237	2122707.298
238	2122526.997
239	2122164.896
240	2121985.243
241	2121616.384
242	2121350.747
243	2121002.232
244	2120624.82
245	2119964.281
246	2119642.579
247	2118790.9
248	2118499.312
249	2118265.459
