iter	Passed	Remaining
0	34	34360
1	72	36286
2	109	36230
3	142	35457
4	182	36237
5	217	36052
6	252	35795
7	280	34800
8	315	34736
9	351	34825
10	384	34599
11	418	34492
12	452	34371
13	484	34134
14	522	34330
15	564	34717
16	603	34892
17	630	34376
18	666	34393
19	700	34347
20	736	34332
21	774	34429
22	808	34337
23	845	34403
24	884	34478
25	919	34462
26	968	34894
27	1006	34944
28	1041	34856
29	1078	34864
30	1111	34734
31	1147	34715
32	1181	34623
33	1212	34448
34	1243	34290
35	1274	34117
36	1305	33988
37	1341	33966
38	1376	33909
39	1407	33774
40	1442	33730
41	1473	33615
42	1505	33513
43	1542	33522
44	1578	33504
45	1637	33950
46	1680	34079
47	1717	34055
48	1750	33967
49	1780	33821
50	1813	33748
51	1851	33761
52	1882	33642
53	1956	34283
54	2047	35178
55	2084	35136
56	2127	35200
57	2161	35111
58	2197	35046
59	2233	34986
60	2265	34876
61	2297	34756
62	2331	34670
63	2362	34552
64	2394	34448
65	2428	34360
66	2463	34299
67	2496	34216
68	2529	34124
69	2562	34038
70	2595	33962
71	2628	33883
72	2659	33771
73	2694	33715
74	2738	33770
75	2768	33657
76	2818	33785
77	2859	33804
78	2909	33919
79	2960	34041
80	2998	34014
81	3016	33766
82	3034	33523
83	3059	33362
84	3094	33312
85	3121	33177
86	3154	33101
87	3183	32993
88	3215	32917
89	3250	32861
90	3281	32780
91	3313	32698
92	3344	32622
93	3375	32533
94	3406	32446
95	3440	32394
96	3471	32316
97	3503	32245
98	3540	32224
99	3568	32118
100	3601	32061
101	3634	31995
102	3666	31927
103	3696	31850
104	3731	31802
105	3761	31722
106	3795	31673
107	3827	31614
108	3857	31534
109	3889	31472
110	3936	31524
111	3997	31691
112	4072	31966
113	4124	32052
114	4154	31975
115	4191	31942
116	4233	31950
117	4274	31947
118	4323	32006
119	4364	32005
120	4404	31996
121	4462	32114
122	4502	32103
123	4537	32053
124	4579	32056
125	4616	32025
126	4661	32040
127	4709	32086
128	4757	32120
129	4807	32174
130	4850	32177
131	4877	32075
132	4898	31935
133	4920	31801
134	4961	31788
135	4978	31626
136	5007	31541
137	5041	31488
138	5074	31434
139	5109	31385
140	5140	31319
141	5174	31264
142	5209	31218
143	5240	31154
144	5268	31067
145	5301	31008
146	5359	31097
147	5395	31060
148	5427	31000
149	5464	30963
150	5499	30922
151	5518	30788
152	5543	30687
153	5566	30580
154	5594	30501
155	5621	30413
156	5647	30321
157	5674	30237
158	5694	30121
159	5722	30044
160	5754	29987
161	5787	29936
162	5830	29940
163	5895	30052
164	5968	30202
165	6034	30316
166	6102	30441
167	6148	30448
168	6192	30447
169	6264	30584
170	6312	30601
171	6370	30665
172	6420	30694
173	6472	30723
174	6503	30660
175	6525	30550
176	6542	30422
177	6565	30320
178	6603	30286
179	6635	30227
180	6668	30174
181	6701	30118
182	6730	30049
183	6764	29997
184	6797	29947
185	6829	29888
186	6862	29837
187	6895	29783
188	6932	29747
189	6971	29720
190	7003	29663
191	7050	29668
192	7081	29612
193	7113	29554
194	7133	29449
195	7155	29353
196	7176	29251
197	7194	29140
198	7212	29032
199	7241	28964
200	7262	28871
201	7296	28824
202	7331	28785
203	7420	28956
204	7483	29020
205	7539	29060
206	7629	29229
207	7674	29220
208	7732	29263
209	7763	29207
210	7783	29106
211	7802	29000
212	7821	28897
213	7839	28793
214	7858	28692
215	7876	28588
216	7895	28487
217	7927	28436
218	7975	28442
219	8007	28390
220	8048	28369
